dir,start_time_utc,end_time_utc,bars,net_pts,span_pts,efficiency_%,mae_pts,start_close,end_close,start_time_london,end_time_london
DOWN,2025-03-13 19:23:00+00:00,2025-03-13 19:59:00+00:00,37,-70.4,150.0,46.9,15.6,40895.0,40824.6,2025-03-13 19:23:00+00:00,2025-03-13 19:59:00+00:00
UP,2025-03-13 20:00:00+00:00,2025-03-14 12:11:00+00:00,73,199.9,255.4,78.3,21.5,40840.5,41040.4,2025-03-13 20:00:00+00:00,2025-03-14 12:11:00+00:00
UP,2025-03-14 14:28:00+00:00,2025-03-14 16:07:00+00:00,100,297.0,372.0,79.8,18.4,41087.4,41384.4,2025-03-14 14:28:00+00:00,2025-03-14 16:07:00+00:00
UP,2025-03-14 16:35:00+00:00,2025-03-14 17:18:00+00:00,44,94.0,158.6,59.3,24.6,41348.0,41442.0,2025-03-14 16:35:00+00:00,2025-03-14 17:18:00+00:00
DOWN,2025-03-14 20:00:00+00:00,2025-03-17 12:30:00+00:00,92,-156.5,223.6,70.0,22.6,41436.4,41279.9,2025-03-14 20:00:00+00:00,2025-03-17 12:30:00+00:00
UP,2025-03-17 12:31:00+00:00,2025-03-17 14:01:00+00:00,91,310.5,481.1,64.5,34.0,41298.9,41609.4,2025-03-17 12:31:00+00:00,2025-03-17 14:01:00+00:00
UP,2025-03-17 17:05:00+00:00,2025-03-17 19:01:00+00:00,117,247.0,314.0,78.7,20.0,41716.0,41963.0,2025-03-17 17:05:00+00:00,2025-03-17 19:01:00+00:00
DOWN,2025-03-17 19:49:00+00:00,2025-03-18 11:48:00+00:00,61,-172.1,254.1,67.7,24.0,41943.6,41771.5,2025-03-17 19:49:00+00:00,2025-03-18 11:48:00+00:00
DOWN,2025-03-18 14:44:00+00:00,2025-03-18 16:09:00+00:00,86,-155.6,220.4,70.6,24.4,41638.6,41483.0,2025-03-18 14:44:00+00:00,2025-03-18 16:09:00+00:00
UP,2025-03-19 13:05:00+00:00,2025-03-19 14:43:00+00:00,99,202.0,248.5,81.3,8.5,41625.0,41827.0,2025-03-19 13:05:00+00:00,2025-03-19 14:43:00+00:00
